best_of;p2_1stIn;p2_1stWon;p2_2ndWon;p2_SvGms;p2_ace;p2_bpFaced;p2_bpSaved;p2_df;p2_svpt;p2_age;p2_entry;p2_hand;p2_ht;p2_id;p2_ioc;p2_name;p2_rank;p2_rank_points;p2_seed;match_num;minutes;round;score;surface;tourney_date;tourney_id;tourney_level;tourney_name;p1_1stIn;p1_1stWon;p1_2ndWon;p1_SvGms;p1_ace;p1_bpFaced;p1_bpSaved;p1_df;p1_svpt;p1_age;p1_entry;p1_hand;p1_ht;p1_id;p1_ioc;p1_name;p1_rank;p1_rank_points;p1_seed;p1_won
3;77.0;51.0;18.0;17.0;9.0;9.0;5.0;1.0;111.0;27.44;;R;183.0;105138;ESP;Roberto Bautista Agut;23.0;1510.0;4.0;18;;R16;6-3 5-7 7-5;Hard;20150921;2015-568;A;St. Petersburg;54.0;30.0;32.0;16.0;3.0;10.0;5.0;10.0;109.0;30.33;;R;188.0;104559;RUS;Teymuraz Gabashvili;57.0;822.0;;0
3;26.0;23.0;13.0;8.0;7.0;0.0;0.0;4.0;45.0;18.95;SE;U;;124187;USA;Reilly Opelka;395.0;110.0;;284;67.0;R32;7-6(6) 3-1 RET;Hard;20160808;2016-7480;A;Los Cabos;27.0;21.0;16.0;8.0;4.0;3.0;2.0;4.0;56.0;30.59;;R;193.0;104660;UKR;Sergiy Stakhovsky;88.0;670.0;;0
3;35.0;15.0;6.0;8.0;2.0;8.0;3.0;1.0;53.0;27.01;;R;;105916;HUN;Marton Fucsovics;38.0;1080.0;;297;78.0;QF;6-3 6-2;Hard;20190211;2019-0407;A;Rotterdam;36.0;26.0;8.0;9.0;3.0;3.0;1.0;0.0;56.0;29.12;;R;178.0;105453;JPN;Kei Nishikori;7.0;4100.0;1.0;1
3;28.0;20.0;15.0;8.0;1.0;2.0;2.0;1.0;47.0;28.37;;R;178.0;105453;JPN;Kei Nishikori;24.0;1665.0;;291;63.0;R16;6-1 6-2;Clay;20180514;2018-M009;M;Rome Masters;23.0;12.0;7.0;7.0;2.0;7.0;3.0;2.0;40.0;34.58;;R;178.0;104259;GER;Philipp Kohlschreiber;28.0;1530.0;;0
3;34.0;28.0;9.0;9.0;2.0;2.0;1.0;3.0;55.0;29.66;;R;185.0;104593;ESP;Daniel Gimeno Traver;95.0;571.0;;21;70.0;QF;6-4 6-3;Clay;20150406;2015-360;A;Casablanca;32.0;20.0;12.0;10.0;1.0;10.0;6.0;0.0;61.0;30.29;WC;R;185.0;104467;ALG;Lamine Ouahab;313.0;147.0;;0
3;43.0;31.0;15.0;10.0;5.0;4.0;3.0;2.0;67.0;26.57;;R;178.0;105453;JPN;Kei Nishikori;6.0;4290.0;3.0;298;88.0;SF;7-6(6) 6-1;Hard;20160725;2016-0421;M;Canada Masters;32.0;19.0;20.0;9.0;5.0;9.0;6.0;2.0;72.0;31.33;;R;183.0;104527;SUI;Stanislas Wawrinka;5.0;4720.0;2.0;0
3;52.0;45.0;11.0;12.0;23.0;5.0;5.0;4.0;74.0;38.61;;R;208.0;103333;CRO;Ivo Karlovic;52.0;910.0;;240;86.0;R64;7-6(1) 7-6(6);Hard;20171009;2017-5014;M;Shanghai Masters;48.0;44.0;14.0;12.0;11.0;0.0;0.0;0.0;68.0;36.05;;L;188.0;103852;ESP;Feliciano Lopez;34.0;1295.0;;1
3;36.0;26.0;12.0;10.0;3.0;2.0;0.0;1.0;65.0;25.51;;R;170.0;106043;ARG;Diego Sebastian Schwartzman;23.0;1810.0;6.0;297;83.0;QF;6-3 6-4;Clay;20180219;2018-6932;A;Rio De Janeiro;33.0;22.0;9.0;9.0;5.0;7.0;3.0;7.0;58.0;31.47;;R;193.0;104792;FRA;Gael Monfils;39.0;1265.0;;0
3;22.0;16.0;10.0;8.0;0.0;3.0;0.0;2.0;43.0;21.47;;R;185.0;106233;AUT;Dominic Thiem;47.0;942.0;;13;51.0;R32;6-3 6-2;Hard;20150223;2015-495;A;Dubai;34.0;29.0;7.0;9.0;0.0;0.0;0.0;3.0;46.0;26.86;;R;183.0;105138;ESP;Roberto Bautista Agut;17.0;2020.0;7.0;1
5;53.0;45.0;25.0;19.0;8.0;8.0;5.0;2.0;94.0;22.54;;R;;106421;RUS;Daniil Medvedev;36.0;1182.0;;175;168.0;R64;6-4 6-3 4-6 6-3;Hard;20180827;2018-560;G;Us Open;55.0;40.0;27.0;19.0;4.0;12.0;6.0;6.0;112.0;20.04;;R;;126774;GRE;Stefanos Tsitsipas;15.0;2042.0;15.0;0
3;47.0;33.0;19.0;13.0;11.0;3.0;0.0;2.0;83.0;29.72;;R;183.0;104597;ESP;Nicolas Almagro;174.0;290.0;;25;122.0;R32;6-1 6-7(5) 6-3;Clay;20150510;2015-416;M;Rome Masters;65.0;51.0;15.0;15.0;11.0;1.0;1.0;0.0;91.0;27.97;;R;188.0;104925;SRB;Novak Djokovic;1.0;13845.0;1.0;1
3;24.0;18.0;9.0;8.0;6.0;6.0;2.0;5.0;49.0;31.61;Q;R;185.0;104308;POL;Michal Przysiezny;159.0;340.0;;4;;R32;6-2 6-2;Hard;20150928;2015-6003;A;Kuala Lumpur;23.0;18.0;15.0;8.0;5.0;2.0;2.0;1.0;45.0;26.5;;R;185.0;105311;POR;Joao Sousa;47.0;951.0;;1
3;33.0;22.0;15.0;9.0;2.0;3.0;2.0;1.0;55.0;29.89;;R;183.0;105138;ESP;Roberto Bautista Agut;16.0;2255.0;13.0;258;84.0;R64;6-4 6-2;Hard;20180305;2018-M006;M;Indian Wells Masters;28.0;17.0;13.0;9.0;3.0;4.0;0.0;3.0;55.0;21.4;;R;;111577;USA;Jared Donaldson;48.0;1038.0;;0
3;46.0;31.0;23.0;14.0;3.0;6.0;2.0;9.0;92.0;33.76;;R;175.0;103970;ESP;David Ferrer;7.0;4305.0;4.0;274;137.0;R32;6-7(8) 6-3 6-2;Hard;20160104;2016-0451;A;Doha;61.0;47.0;22.0;15.0;4.0;7.0;6.0;4.0;102.0;28.32;;R;185.0;105011;UKR;Illya Marchenko;94.0;605.0;;1
5;25.0;12.0;8.0;7.0;1.0;11.0;6.0;2.0;46.0;32.25;;R;175.0;104534;ISR;Dudi Sela;90.0;615.0;;206;60.0;R32;6-1 6-1 RET;Grass;20170703;2017-540;G;Wimbledon;29.0;24.0;6.0;7.0;5.0;1.0;1.0;0.0;36.0;26.13;;R;188.0;105777;BUL;Grigor Dimitrov;11.0;3070.0;13.0;1
3;33.0;22.0;13.0;9.0;1.0;11.0;6.0;9.0;74.0;25.83;;L;190.0;105373;SVK;Martin Klizan;32.0;1180.0;;11;74.0;R64;6-4 6-1;Clay;20150510;2015-416;M;Rome Masters;22.0;18.0;11.0;8.0;4.0;2.0;1.0;0.0;37.0;26.5;Q;R;180.0;105238;UKR;Alexandr Dolgopolov;80.0;645.0;;1
3;36.0;28.0;13.0;10.0;13.0;0.0;0.0;0.0;52.0;29.91;;R;206.0;104545;USA;John Isner;24.0;1450.0;22.0;90;71.0;QF;6-4 6-3;Hard;20150325;2015-403;M;Miami Masters;38.0;22.0;11.0;9.0;1.0;5.0;3.0;1.0;57.0;25.23;;R;178.0;105453;JPN;Kei Nishikori;5.0;5460.0;4.0;0
3;58.0;49.0;19.0;16.0;11.0;16.0;12.0;7.0;112.0;25.82;;R;188.0;105449;USA;Steve Johnson;47.0;940.0;;31;;F;4-6 6-4 7-5;Hard;20151019;2015-337;A;Vienna;61.0;43.0;18.0;16.0;7.0;5.0;2.0;1.0;92.0;33.55;;R;175.0;103970;ESP;David Ferrer;8.0;3805.0;1.0;1
3;51.0;41.0;13.0;12.0;27.0;2.0;2.0;1.0;71.0;32.3;;R;206.0;104545;USA;John Isner;19.0;2110.0;14.0;288;99.0;R16;7-6(4) 7-5;Hard;20170814;2017-M024;M;Cincinnati Masters;41.0;33.0;18.0;12.0;10.0;2.0;1.0;5.0;75.0;19.56;WC;R;;126207;USA;Francis Tiafoe;87.0;622.0;;0
3;35.0;21.0;10.0;9.0;6.0;6.0;3.0;2.0;55.0;22.59;;;;202462;SRI;Yasitha De Silva;1674.0;1.0;;2;80.0;RR;6-3 6-3;Clay;20180203;2018-M-DC-2018-G2-AO-M-THA-SRI-01;D;Davis Cup G2 R1: THA vs SRI;27.0;25.0;12.0;9.0;10.0;1.0;1.0;5.0;48.0;22.83;;R;;106397;THA;Wishaya Trongcharoenchaikul;458.0;78.0;;1
3;32.0;30.0;6.0;9.0;6.0;0.0;0.0;0.0;41.0;27.77;Q;R;181.0;105379;SLO;Aljaz Bedene;68.0;718.0;;294;63.0;QF;6-4 6-3;Clay;20170424;2017-7648;A;Budapest;41.0;30.0;7.0;10.0;7.0;3.0;0.0;1.0;59.0;38.15;;R;208.0;103333;CRO;Ivo Karlovic;22.0;1795.0;2.0;0
3;32.0;19.0;9.0;8.0;1.0;9.0;6.0;1.0;50.0;24.29;;R;188.0;105807;ESP;Pablo Carreno Busta;70.0;719.0;;4;;R32;6-2 6-3;Hard;20151026;2015-573;A;Valencia;30.0;25.0;11.0;9.0;4.0;0.0;0.0;0.0;47.0;29.82;;R;180.0;104655;URU;Pablo Cuevas;37.0;1100.0;;1
3;47.0;35.0;10.0;12.0;11.0;5.0;2.0;4.0;74.0;24.26;Q;R;;106368;IND;Ramkumar Ramanathan;128.0;425.0;;271;110.0;R32;6-3 3-6 6-1;Hard;20190211;2019-0424;A;New York;70.0;45.0;16.0;13.0;3.0;10.0;9.0;2.0;94.0;29.66;;R;;105359;TPE;Jason Jung;143.0;391.0;;1
3;45.0;28.0;18.0;12.0;3.0;5.0;3.0;1.0;72.0;28.87;;R;185.0;104755;FRA;Richard Gasquet;23.0;1535.0;;28;97.0;R32;7-6(3) 7-5;Clay;20150503;2015-1536;M;Madrid Masters;40.0;30.0;24.0;12.0;10.0;1.0;0.0;0.0;70.0;29.62;;R;196.0;104607;CZE;Tomas Berdych;7.0;4960.0;6.0;1
3;38.0;21.0;8.0;9.0;1.0;6.0;2.0;0.0;54.0;23.05;Q;R;;111574;USA;Jc Aragone;289.0;177.0;;283;69.0;R32;7-6(6) 6-0;Grass;20180716;2018-0315;A;Newport;29.0;20.0;21.0;9.0;1.0;3.0;2.0;3.0;57.0;32.26;;R;190.0;104719;ESP;Marcel Granollers;124.0;466.0;;1
5;87.0;58.0;20.0;21.0;5.0;13.0;6.0;2.0;131.0;28.25;;R;183.0;105357;AUS;John Millman;185.0;300.0;;1;212.0;RR;6-7(4) 6-4 6-3 7-5;Clay;20170915;2017-M-DC-2017-WG-M-BEL-AUS-01;D;Davis Cup WG SF: BEL vs AUS;81.0;61.0;27.0;22.0;16.0;9.0;5.0;3.0;145.0;26.77;;R;163.0;105676;BEL;David Goffin;12.0;2695.0;;1
3;31.0;24.0;17.0;10.0;3.0;1.0;1.0;2.0;56.0;24.17;;R;170.0;106043;ARG;Diego Sebastian Schwartzman;77.0;712.0;;290;72.0;R16;6-4 6-4;Hard;20161017;2016-7485;A;Antwerp;40.0;29.0;12.0;10.0;7.0;4.0;2.0;3.0;65.0;18.97;;R;;126203;USA;Taylor Harry Fritz;70.0;729.0;;0
5;;;;;;;;;;29.34;;L;;104631;SRI;Harshana Godamanna;;;;1;;RR;5-7 3-6 6-4 6-0 6-3;Clay;20150306;2015-D044;D;Davis Cup G2 R1: PHI vs SRI;;;;;;;;;;29.59;;U;;104591;PHI;Patrick Tierro;1089.0;8.0;;1
