best_of;p2_1stIn;p2_1stWon;p2_2ndWon;p2_SvGms;p2_ace;p2_bpFaced;p2_bpSaved;p2_df;p2_svpt;p2_age;p2_entry;p2_hand;p2_ht;p2_id;p2_ioc;p2_name;p2_rank;p2_rank_points;p2_seed;match_num;minutes;round;score;surface;tourney_date;tourney_id;tourney_level;tourney_name;p1_1stIn;p1_1stWon;p1_2ndWon;p1_SvGms;p1_ace;p1_bpFaced;p1_bpSaved;p1_df;p1_svpt;p1_age;p1_entry;p1_hand;p1_ht;p1_id;p1_ioc;p1_name;p1_rank;p1_rank_points;p1_seed;p1_won
3;34.0;24.0;9.0;10.0;4.0;6.0;3.0;0.0;51.0;33.25;;R;190.0;104312;ITA;Andreas Seppi;83.0;631.0;;289;77.0;R16;6-4 6-4;Clay;20170522;2017-7694;A;Lyon;49.0;32.0;12.0;10.0;2.0;6.0;5.0;2.0;71.0;25.24;;R;185.0;105932;RUS;Nikoloz Basilashvili;71.0;731.0;;1
5;84.0;41.0;23.0;22.0;2.0;19.0;8.0;4.0;134.0;30.92;;R;175.0;104534;ISR;Dudi Sela;89.0;613.0;;1;179.0;RR;6-2 6-3 4-6 4-6 6-1;Clay;20160304;2016-M-DC-2016-G1-EPA-M-HUN-ISR-01;D;Davis Cup G1 R1: HUN vs ISR;71.0;46.0;32.0;22.0;2.0;15.0;8.0;5.0;124.0;23.96;;U;;105954;HUN;Peter Nagy;612.0;50.0;;1
5;44.0;21.0;9.0;12.0;1.0;12.0;4.0;4.0;68.0;29.1;;R;;105341;ITA;Thomas Fabbiano;133.0;424.0;;203;91.0;R32;6-2 6-1 6-4;Grass;20180702;2018-540;G;Wimbledon;51.0;37.0;11.0;13.0;11.0;6.0;3.0;3.0;75.0;19.89;;R;;126774;GRE;Stefanos Tsitsipas;35.0;1254.0;31.0;1
3;5.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;6.0;31.56;;R;178.0;104259;GER;Philipp Kohlschreiber;23.0;1535.0;;39;16.0;R32;3-0 RET;Clay;20150510;2015-416;M;Rome Masters;8.0;8.0;2.0;2.0;4.0;0.0;0.0;1.0;15.0;28.98;;R;203.0;104731;RSA;Kevin Anderson;16.0;1925.0;15.0;1
3;36.0;27.0;10.0;10.0;4.0;2.0;0.0;2.0;55.0;22.95;;L;;106210;CZE;Jiri Vesely;64.0;780.0;;277;80.0;R32;7-6(2) 6-2;Grass;20160620;2016-0741;A;Nottingham;42.0;35.0;13.0;10.0;13.0;3.0;3.0;1.0;59.0;33.12;;L;193.0;104180;LUX;Gilles Muller;41.0;1045.0;8.0;1
3;32.0;23.0;13.0;7.0;3.0;4.0;2.0;2.0;60.0;33.39;;R;178.0;104259;GER;Philipp Kohlschreiber;30.0;1270.0;28.0;260;67.0;R64;6-7(3) 1-1 RET;Hard;20170306;2017-M006;M;Indian Wells Masters;31.0;20.0;14.0;7.0;7.0;7.0;5.0;1.0;56.0;28.33;;R;180.0;105238;UKR;Alexandr Dolgopolov;64.0;785.0;;0
3;28.0;22.0;18.0;10.0;3.0;5.0;3.0;0.0;59.0;27.44;;R;183.0;105138;ESP;Roberto Bautista Agut;23.0;1510.0;4.0;26;;SF;6-2 7-6(2);Hard;20150921;2015-568;A;St. Petersburg;44.0;39.0;9.0;10.0;19.0;2.0;2.0;4.0;66.0;24.73;;R;196.0;105683;CAN;Milos Raonic;9.0;2790.0;2.0;1
3;43.0;29.0;8.0;9.0;3.0;5.0;3.0;0.0;59.0;28.24;Q;R;183.0;105062;KAZ;Mikhail Kukushkin;90.0;617.0;;203;85.0;R128;6-4 6-2;Hard;20160321;2016-M007;M;Miami Masters;41.0;24.0;6.0;9.0;2.0;12.0;7.0;4.0;65.0;30.89;PR;R;190.0;104548;USA;Brian Baker;1045.0;10.0;;0
3;43.0;34.0;11.0;10.0;3.0;3.0;3.0;1.0;63.0;26.32;;R;185.0;105311;POR;Joao Sousa;43.0;986.0;6.0;3;;R32;6-2 7-5;Clay;20150727;2015-314;A;Gstaad;38.0;26.0;15.0;10.0;4.0;13.0;10.0;5.0;71.0;23.32;WC;R;;105967;SUI;Henri Laaksonen;337.0;134.0;;0
5;90.0;72.0;19.0;25.0;17.0;8.0;3.0;7.0;135.0;20.2;;R;198.0;100644;GER;Alexander Zverev;12.0;3070.0;10.0;216;203.0;R16;4-6 7-5 4-6 7-5 6-1;Grass;20170703;2017-540;G;Wimbledon;124.0;94.0;24.0;26.0;23.0;17.0;14.0;6.0;175.0;26.52;;R;196.0;105683;CAN;Milos Raonic;7.0;4150.0;6.0;1
3;21.0;20.0;24.0;10.0;8.0;0.0;0.0;5.0;55.0;26.12;Q;L;190.0;105373;SVK;Martin Klizan;36.0;1125.0;;10;;R64;7-6(1) 6-2;Hard;20150823;2015-6242;A;Winston-Salem;39.0;29.0;9.0;10.0;6.0;3.0;1.0;3.0;64.0;28.2;;R;190.0;104947;TUR;Marsel Ilhan;83.0;618.0;;0
3;49.0;34.0;20.0;12.0;2.0;9.0;7.0;3.0;83.0;21.42;Q;L;;106415;JPN;Yoshihito Nishioka;86.0;621.0;;273;113.0;R32;3-6 6-2 6-1;Hard;20170227;2017-M004;A;Acapulco;56.0;31.0;17.0;12.0;10.0;9.0;4.0;1.0;87.0;24.43;;R;185.0;106058;USA;Jack Sock;18.0;2060.0;7.0;0
3;60.0;43.0;19.0;16.0;5.0;9.0;6.0;7.0;103.0;19.26;;R;;111202;KOR;Hyeon Chung;71.0;709.0;;36;;R16;7-6(1) 1-6 7-5;Hard;20150823;2015-6242;A;Winston-Salem;56.0;40.0;22.0;15.0;2.0;10.0;6.0;3.0;109.0;32.02;;R;180.0;104229;TPE;Yen Hsun Lu;106.0;514.0;;1
5;61.0;44.0;21.0;16.0;6.0;3.0;2.0;1.0;90.0;22.09;;R;;111442;AUS;Jordan Thompson;94.0;608.0;;161;128.0;R128;6-3 6-4 7-5;Clay;20160523;2016-520;G;Roland Garros;56.0;35.0;21.0;15.0;1.0;7.0;3.0;4.0;92.0;20.97;;R;;111513;SRB;Laslo Djere;215.0;249.0;;0
3;29.0;24.0;17.0;10.0;7.0;1.0;1.0;1.0;51.0;20.18;;R;;126774;GRE;Stefanos Tsitsipas;16.0;2007.0;3.0;300;81.0;F;6-4 6-4;Hard;20181015;2018-0429;A;Stockholm;26.0;22.0;12.0;10.0;8.0;2.0;0.0;2.0;54.0;30.12;Q;R;190.0;105208;LAT;Ernests Gulbis;145.0;404.0;;0
5;72.0;49.0;22.0;19.0;6.0;15.0;10.0;5.0;121.0;19.09;;R;198.0;100644;GER;Alexander Zverev;41.0;1060.0;;201;169.0;R32;6-7(4) 6-3 6-3 6-3;Clay;20160523;2016-520;G;Roland Garros;78.0;56.0;34.0;20.0;6.0;8.0;7.0;2.0;132.0;22.72;;R;185.0;106233;AUT;Dominic Thiem;15.0;2430.0;13.0;1
3;51.0;40.0;21.0;14.0;6.0;7.0;5.0;8.0;91.0;29.32;;L;183.0;105173;FRA;Adrian Mannarino;28.0;1580.0;7.0;282;122.0;R32;7-6(0) 4-6 6-1;Hard;20171023;2017-0328;A;Basel;63.0;43.0;17.0;15.0;18.0;4.0;0.0;5.0;103.0;29.77;SE;L;;105074;BEL;Ruben Bemelmans;84.0;628.0;;0
5;46.0;27.0;28.0;15.0;4.0;18.0;12.0;4.0;103.0;33.27;;R;190.0;104312;ITA;Andreas Seppi;83.0;651.0;;173;140.0;R64;6-4 7-5 6-3;Clay;20170529;2017-520;G;Roland Garros;57.0;40.0;22.0;16.0;5.0;9.0;6.0;7.0;102.0;30.02;;R;178.0;104926;ITA;Fabio Fognini;29.0;1350.0;28.0;1
3;21.0;6.0;2.0;6.0;0.0;8.0;2.0;1.0;32.0;19.35;;U;;206000;LIB;Michel Saade;;;;4;31.0;RR;6-0 6-0;Hard;20180203;2018-M-DC-2018-G2-AO-M-LBN-TPE-01;D;Davis Cup G2 R1: LBN vs TPE;15.0;15.0;9.0;6.0;0.0;0.0;0.0;1.0;27.0;16.49;;R;;202358;TPE;Chun Hsin Tseng;;;;1
5;65.0;44.0;14.0;19.0;2.0;13.0;4.0;10.0;112.0;27.02;;R;175.0;105554;GBR;Daniel Evans;55.0;854.0;;138;147.0;R128;5-7 6-4 6-3 6-1;Clay;20170529;2017-520;G;Roland Garros;65.0;44.0;22.0;19.0;6.0;7.0;2.0;2.0;100.0;35.08;;R;180.0;103990;ESP;Tommy Robredo;274.0;192.0;;1
3;40.0;20.0;10.0;9.0;0.0;6.0;2.0;1.0;58.0;27.83;;L;183.0;105385;USA;Donald Young;51.0;910.0;;280;60.0;R32;6-2 6-3;Clay;20170522;2017-7694;A;Lyon;31.0;30.0;3.0;8.0;8.0;1.0;1.0;1.0;38.0;21.01;Q;R;;111202;KOR;Hyeon Chung;68.0;749.0;;1
5;54.0;43.0;11.0;12.0;15.0;2.0;2.0;5.0;76.0;28.8;;R;190.0;104918;GBR;Andy Murray;2.0;8765.0;;1;90.0;RR;6-1 6-3 6-1;Hard;20160304;2016-M-DC-2016-WG-M-GBR-JPN-01;D;Davis Cup WG R1: GBR vs JPN;38.0;23.0;6.0;11.0;2.0;9.0;3.0;6.0;59.0;23.1;;R;;106121;JPN;Taro Daniel;87.0;619.0;;0
3;41.0;22.0;10.0;11.0;3.0;7.0;2.0;5.0;65.0;28.64;;R;188.0;104919;ARG;Leonardo Mayer;35.0;1150.0;8.0;297;93.0;QF;6-3 7-5;Hard;20160104;2016-0451;A;Doha;38.0;30.0;7.0;10.0;2.0;5.0;3.0;0.0;57.0;28.62;;R;188.0;104925;SRB;Novak Djokovic;1.0;16585.0;1.0;1
3;81.0;59.0;7.0;16.0;5.0;6.0;4.0;2.0;97.0;27.55;;R;188.0;105053;COL;Santiago Giraldo;62.0;790.0;;8;;R32;6-7(4) 6-4 6-4;Grass;20150615;2015-500;A;Halle;63.0;50.0;17.0;16.0;28.0;0.0;0.0;1.0;89.0;36.29;;R;208.0;103333;CRO;Ivo Karlovic;27.0;1250.0;8.0;1
3;30.0;25.0;14.0;9.0;3.0;3.0;2.0;3.0;56.0;34.23;;R;185.0;103908;FRA;Paul Henri Mathieu;63.0;774.0;;290;92.0;R16;7-6(4) 6-0;Clay;20160404;2016-0360;A;Marrakech;44.0;25.0;10.0;9.0;5.0;10.0;6.0;9.0;72.0;32.71;Q;R;175.0;104216;ARG;Maximo Gonzalez;147.0;395.0;;0
3;32.0;26.0;18.0;10.0;9.0;2.0;2.0;1.0;61.0;30.52;;R;183.0;104527;SUI;Stanislas Wawrinka;4.0;6005.0;1.0;25;;QF;6-3 6-4;Hard;20151005;2015-329;A;Tokyo;30.0;24.0;8.0;9.0;4.0;4.0;2.0;2.0;47.0;25.3;Q;L;;105572;USA;Austin Krajicek;124.0;450.0;;0
3;38.0;25.0;6.0;10.0;4.0;4.0;1.0;1.0;52.0;22.51;;L;;106210;CZE;Jiri Vesely;42.0;1057.0;;277;76.0;R32;6-3 7-5;Hard;20160111;2016-0301;A;Auckland;40.0;30.0;17.0;11.0;5.0;5.0;4.0;0.0;67.0;27.74;;R;183.0;105138;ESP;Roberto Bautista Agut;25.0;1480.0;8.0;1
3;54.0;36.0;15.0;13.0;2.0;9.0;6.0;4.0;86.0;24.36;;R;203.0;105668;POL;Jerzy Janowicz;49.0;905.0;;44;130.0;R64;6-4 1-6 6-4;Hard;20150325;2015-403;M;Miami Masters;68.0;47.0;17.0;14.0;2.0;13.0;10.0;2.0;102.0;26.94;;R;183.0;105138;ESP;Roberto Bautista Agut;15.0;1975.0;13.0;0
3;23.0;18.0;17.0;9.0;1.0;2.0;1.0;0.0;51.0;28.12;;R;183.0;105062;KAZ;Mikhail Kukushkin;93.0;612.0;;292;81.0;R16;6-1 7-5;Hard;20160208;2016-0402;A;Memphis;42.0;28.0;8.0;10.0;8.0;10.0;5.0;3.0;72.0;23.48;;R;180.0;106045;USA;Denis Kudla;59.0;772.0;5.0;0
5;55.0;31.0;8.0;11.0;0.0;11.0;5.0;2.0;82.0;36.82;;R;173.0;103607;DOM;Victor Estrella;90.0;595.0;;174;103.0;R64;6-1 6-0 6-4;Clay;20170529;2017-520;G;Roland Garros;40.0;35.0;17.0;12.0;5.0;4.0;4.0;2.0;71.0;30.95;;R;185.0;104755;FRA;Richard Gasquet;25.0;1605.0;24.0;1
3;29.0;19.0;10.0;8.0;3.0;4.0;2.0;1.0;47.0;29.19;LL;R;183.0;105062;KAZ;Mikhail Kukushkin;90.0;618.0;;211;86.0;R128;1-6 6-1 3-0 RET;Hard;20170306;2017-M006;M;Indian Wells Masters;31.0;19.0;12.0;9.0;3.0;6.0;2.0;2.0;59.0;22.88;;R;;111442;AUS;Jordan Thompson;76.0;709.0;;0
3;26.0;15.0;12.0;9.0;2.0;7.0;2.0;1.0;54.0;32.38;;R;183.0;104468;FRA;Gilles Simon;31.0;1210.0;;241;74.0;R64;6-3 6-3;Clay;20170515;2017-M009;M;Rome Masters;34.0;23.0;7.0;9.0;3.0;5.0;3.0;1.0;45.0;25.84;;R;188.0;105807;ESP;Pablo Carreno Busta;21.0;2090.0;15.0;1
3;33.0;25.0;8.0;9.0;1.0;8.0;4.0;6.0;61.0;29.98;;R;178.0;104926;ITA;Fabio Fognini;29.0;1270.0;;293;78.0;R16;6-3 6-3;Clay;20170515;2017-M009;M;Rome Masters;31.0;23.0;15.0;9.0;0.0;2.0;1.0;1.0;54.0;20.07;;R;198.0;100644;GER;Alexander Zverev;17.0;2300.0;16.0;1
3;36.0;25.0;12.0;11.0;5.0;5.0;1.0;5.0;62.0;20.0;;R;;126774;GRE;Stefanos Tsitsipas;15.0;2089.0;;250;86.0;R64;7-5 6-3;Hard;20180813;2018-M024;M;Cincinnati Masters;37.0;27.0;16.0;10.0;6.0;8.0;7.0;0.0;63.0;27.68;;R;163.0;105676;BEL;David Goffin;11.0;3085.0;11.0;1
3;31.0;20.0;10.0;8.0;4.0;6.0;3.0;0.0;52.0;25.23;;R;188.0;105777;BUL;Grigor Dimitrov;34.0;1285.0;;119;64.0;R64;6-1 6-4 ;Hard;20160808;2016-O16;A;Rio Olympics;30.0;24.0;14.0;9.0;12.0;2.0;2.0;1.0;49.0;27.86;;R;198.0;105227;CRO;Marin Cilic;14.0;2525.0;9.0;1
3;;;;;;;;;;35.15;;R;183.0;103893;ITA;Paolo Lorenzi;46.0;972.0;3.0;300;153.0;F;6-7(2) 7-5 7-6(6);Clay;20170206;2017-7161;A;Quito;;;;;;;;;;36.51;;R;173.0;103607;DOM;Victor Estrella;156.0;362.0;;1
3;54.0;46.0;18.0;15.0;3.0;5.0;4.0;2.0;85.0;24.29;;R;;106252;BRA;Joao Pedro Sorgi;365.0;118.0;;5;145.0;RR;6-7(8) 6-1 6-4;Hard;20180202;2018-M-DC-2018-G1-AM-M-DOM-BRA-01;D;Davis Cup G1 R1: DOM vs BRA;65.0;43.0;23.0;14.0;3.0;10.0;6.0;4.0;115.0;24.43;;R;;106232;DOM;Roberto Cid;468.0;75.0;;0
3;35.0;29.0;12.0;10.0;8.0;1.0;1.0;1.0;58.0;27.08;;R;;105815;USA;Tennys Sandgren;61.0;872.0;;255;71.0;R64;6-4 6-3;Hard;20180820;2018-6242;A;Winston Salem;25.0;17.0;14.0;9.0;2.0;3.0;1.0;1.0;44.0;28.16;;R;175.0;105575;LTU;Ricardas Berankis;104.0;540.0;;0
3;47.0;36.0;9.0;10.0;4.0;2.0;2.0;0.0;59.0;26.25;;R;;106065;ITA;Marco Cecchinato;20.0;1819.0;4.0;295;73.0;QF;7-6(2) 6-2;Hard;20181231;2019-0451;A;Doha;46.0;33.0;6.0;10.0;6.0;7.0;5.0;1.0;60.0;28.5;;R;180.0;105583;SRB;Dusan Lajovic;48.0;985.0;;0
5;62.0;44.0;23.0;18.0;8.0;9.0;4.0;6.0;104.0;35.53;;R;185.0;103898;FRA;Julien Benneteau;81.0;652.0;;125;156.0;R128;6-3 7-6(8) 2-6 6-2;Grass;20170703;2017-540;G;Wimbledon;67.0;53.0;31.0;19.0;17.0;10.0;6.0;8.0;129.0;31.49;;R;193.0;104660;UKR;Sergiy Stakhovsky;122.0;461.0;;1
3;60.0;45.0;8.0;12.0;6.0;7.0;5.0;8.0;81.0;19.47;Q;R;;111578;USA;Stefan Kozlov;133.0;417.0;;275;107.0;R32;7-5 7-6(7);Hard;20170724;2017-6116;A;Atlanta;55.0;39.0;22.0;12.0;9.0;8.0;7.0;6.0;92.0;20.74;Q;R;;111460;FRA;Quentin Halys;134.0;413.0;;1
3;40.0;32.0;8.0;9.0;3.0;2.0;2.0;0.0;54.0;26.11;;R;180.0;105583;SRB;Dusan Lajovic;72.0;728.0;;271;81.0;R32;6-3 6-4;Hard;20160808;2016-7480;A;Los Cabos;37.0;27.0;10.0;10.0;3.0;6.0;3.0;2.0;66.0;22.19;;L;;106329;BRA;Thiago Monteiro;101.0;598.0;;0
5;61.0;50.0;35.0;20.0;12.0;4.0;3.0;10.0;120.0;28.44;;R;190.0;104890;AUT;Andreas Haider Maurer;52.0;870.0;;2;;R128;6-4 3-6 6-7(0) 6-0 6-1;Hard;20150831;2015-560;G;US Open;110.0;79.0;28.0;22.0;24.0;25.0;19.0;16.0;186.0;25.19;;R;193.0;105577;CAN;Vasek Pospisil;45.0;1000.0;;0
5;77.0;48.0;12.0;16.0;3.0;17.0;10.0;6.0;109.0;33.54;;L;188.0;104269;ESP;Fernando Verdasco;37.0;1085.0;;213;154.0;R16;0-6 6-4 6-4 6-0;Clay;20170529;2017-520;G;Roland Garros;59.0;37.0;25.0;16.0;4.0;13.0;8.0;2.0;112.0;27.41;;R;178.0;105453;JPN;Kei Nishikori;9.0;3650.0;8.0;1
3;24.0;15.0;23.0;9.0;0.0;3.0;2.0;1.0;53.0;26.07;;R;;105916;HUN;Marton Fucsovics;65.0;825.0;;175;86.0;R128;7-6(3) 6-1;Hard;20180305;2018-M006;M;Indian Wells Masters;38.0;24.0;11.0;10.0;2.0;8.0;4.0;2.0;68.0;32.06;;R;193.0;104678;SRB;Viktor Troicki;68.0;790.0;;0
5;54.0;39.0;19.0;14.0;8.0;10.0;5.0;1.0;96.0;23.44;;R;;111197;SWE;Jonathan Mridha;1094.0;8.0;;2;122.0;RR;7-6(5) 6-2 6-3;Hard;20180914;2018-M-DC-2018-WG-PO-SUI-SWE-01;D;Davis Cup WG PO: SUI vs SWE;65.0;53.0;11.0;15.0;10.0;7.0;5.0;3.0;95.0;26.46;;R;;105967;SUI;Henri Laaksonen;120.0;455.0;;1
3;89.0;55.0;36.0;18.0;7.0;12.0;8.0;6.0;146.0;29.5;;R;190.0;104918;GBR;Andy Murray;1.0;11185.0;1.0;299;218.0;SF;5-7 7-6(5) 7-6(9);Hard;20161114;2016-0605;A;Tour Finals;81.0;60.0;21.0;18.0;10.0;7.0;4.0;6.0;128.0;25.88;;R;196.0;105683;CAN;Milos Raonic;4.0;5050.0;4.0;0
3;51.0;40.0;17.0;14.0;11.0;4.0;2.0;11.0;84.0;31.43;;R;193.0;104792;FRA;Gael Monfils;43.0;1130.0;3.0;295;110.0;QF;6-4 2-6 6-4;Clay;20180205;2018-7161;A;Quito;43.0;32.0;25.0;14.0;6.0;5.0;3.0;1.0;80.0;23.69;;L;;106329;BRA;Thiago Monteiro;118.0;495.0;;1
3;23.0;19.0;15.0;8.0;1.0;3.0;3.0;3.0;46.0;34.06;;R;183.0;104022;RUS;Mikhail Youzhny;66.0;788.0;7.0;278;72.0;R32;6-3 6-2;Clay;20160718;2016-0314;A;Gstaad;36.0;22.0;12.0;9.0;1.0;11.0;7.0;5.0;65.0;19.32;WC;R;;126627;SUI;Johan Nikles;874.0;18.0;;0
3;54.0;40.0;27.0;16.0;6.0;6.0;4.0;4.0;100.0;29.26;;R;;104629;ESP;Adrian Menendez Maceiras;130.0;418.0;;6;139.0;R32;4-6 6-4 7-6(1);Clay;20150202;2015-7161;A;Quito;50.0;39.0;24.0;16.0;3.0;3.0;1.0;4.0;92.0;33.13;;R;183.0;103893;ITA;Paolo Lorenzi;68.0;737.0;5.0;1
3;47.0;40.0;16.0;12.0;12.0;0.0;0.0;4.0;73.0;25.63;;R;196.0;105683;CAN;Milos Raonic;6.0;4455.0;4.0;281;96.0;R32;7-6(5) 7-6(5);Hard;20160815;2016-M024;M;Cincinnati Masters;53.0;45.0;11.0;12.0;20.0;1.0;1.0;1.0;76.0;31.3;;R;206.0;104545;USA;John Isner;22.0;1610.0;;0
3;67.0;36.0;15.0;11.0;1.0;12.0;9.0;1.0;91.0;28.07;;R;183.0;105138;ESP;Roberto Bautista Agut;17.0;2015.0;15.0;271;122.0;R32;7-6(6) 6-4;Clay;20160509;2016-M009;M;Rome Masters;51.0;37.0;15.0;11.0;6.0;6.0;4.0;4.0;83.0;29.24;;R;188.0;104871;FRA;Jeremy Chardy;32.0;1220.0;;1
3;37.0;28.0;17.0;10.0;10.0;3.0;3.0;2.0;64.0;18.28;WC;R;;126203;USA;Taylor Harry Fritz;145.0;414.0;;271;72.0;R32;6-3 6-4;Hard;20160208;2016-0402;A;Memphis;37.0;24.0;9.0;9.0;1.0;6.0;4.0;3.0;53.0;18.08;Q;R;;111581;USA;Michael Mmoh;387.0;113.0;;0
3;57.0;34.0;16.0;13.0;0.0;10.0;6.0;0.0;88.0;27.53;;R;;105430;MDA;Radu Albot;86.0;613.0;;283;119.0;R32;2-6 6-4 6-2;Clay;20170522;2017-7694;A;Lyon;46.0;34.0;15.0;13.0;7.0;3.0;0.0;2.0;77.0;26.49;Q;R;178.0;105671;POR;Gastao Elias;125.0;455.0;;1
3;41.0;30.0;19.0;11.0;3.0;6.0;4.0;5.0;76.0;28.62;;R;178.0;105453;JPN;Kei Nishikori;23.0;1710.0;;243;92.0;R64;7-5 6-3;Hard;20180813;2018-M024;M;Cincinnati Masters;28.0;19.0;9.0;10.0;4.0;6.0;2.0;4.0;54.0;20.81;;R;;126094;RUS;Andrey Rublev;37.0;1180.0;;0
3;60.0;43.0;19.0;15.0;19.0;5.0;3.0;2.0;88.0;31.35;;R;198.0;105023;USA;Sam Querrey;49.0;940.0;6.0;298;114.0;SF;7-6(7) 4-6 6-3;Hard;20190211;2019-0424;A;New York;83.0;66.0;8.0;16.0;12.0;7.0;5.0;4.0;109.0;23.61;Q;R;;111790;CAN;Brayden Schnur;154.0;367.0;;1
3;38.0;30.0;18.0;11.0;5.0;6.0;5.0;3.0;71.0;30.18;;R;183.0;105138;ESP;Roberto Bautista Agut;16.0;2030.0;4.0;288;95.0;R16;6-4 7-5;Grass;20180618;2018-0500;A;Halle;39.0;29.0;8.0;11.0;10.0;4.0;1.0;1.0;66.0;31.2;;R;190.0;104898;NED;Robin Haase;43.0;1120.0;;0
3;46.0;32.0;8.0;10.0;5.0;9.0;6.0;3.0;71.0;19.33;Q;R;;122330;RUS;Alexander Bublik;266.0;194.0;;293;76.0;R16;6-2 7-5;Hard;20161017;2016-M014;A;Moscow;45.0;25.0;5.0;10.0;2.0;12.0;6.0;3.0;63.0;28.51;;R;183.0;105138;ESP;Roberto Bautista Agut;13.0;2505.0;1.0;0
5;58.0;47.0;15.0;14.0;15.0;3.0;3.0;1.0;81.0;28.1;;R;188.0;104925;SRB;Novak Djokovic;1.0;13845.0;1.0;97;;R32;6-3 6-3 6-3;Grass;20150629;2015-540;G;Wimbledon;54.0;33.0;15.0;13.0;9.0;13.0;9.0;2.0;82.0;22.69;;R;193.0;106071;AUS;Bernard Tomic;26.0;1355.0;27.0;0
3;16.0;5.0;2.0;6.0;2.0;6.0;1.0;0.0;28.0;28.93;;R;196.0;104736;UZB;Farrukh Dustov;108.0;505.0;;4;57.0;R32;6-1 4-1 RET;Clay;20150427;2015-308;A;Munich;28.0;20.0;5.0;6.0;0.0;5.0;4.0;1.0;38.0;36.41;Q;R;185.0;103285;CZE;Radek Stepanek;120.0;465.0;;1
3;57.0;39.0;28.0;15.0;5.0;8.0;5.0;3.0;106.0;28.47;;R;190.0;104918;GBR;Andy Murray;3.0;8070.0;2.0;44;;QF;7-6(7) 3-6 6-3;Hard;20151102;2015-352;M;Paris Masters;61.0;43.0;21.0;15.0;7.0;8.0;5.0;0.0;100.0;29.37;;R;185.0;104755;FRA;Richard Gasquet;9.0;2715.0;10.0;0
3;35.0;28.0;5.0;9.0;4.0;2.0;0.0;0.0;45.0;27.24;;L;190.0;105643;ARG;Federico Delbonis;68.0;755.0;;276;69.0;R32;6-3 6-4;Hard;20180101;2018-M020;A;Brisbane;38.0;32.0;11.0;10.0;5.0;3.0;3.0;4.0;55.0;19.98;Q;R;;111581;USA;Michael Mmoh;175.0;299.0;;1
3;31.0;26.0;11.0;8.0;9.0;3.0;3.0;4.0;54.0;20.3;;R;;126094;RUS;Andrey Rublev;36.0;1310.0;6.0;289;61.0;R16;6-2 6-1;Hard;20180205;2018-0375;A;Montpellier;25.0;15.0;8.0;7.0;6.0;5.0;1.0;2.0;48.0;30.98;;R;188.0;104871;FRA;Jeremy Chardy;91.0;605.0;;0
3;51.0;32.0;11.0;13.0;2.0;12.0;6.0;1.0;79.0;34.59;Q;L;193.0;103582;GER;Michael Berrer;142.0;372.0;;4;98.0;R32;6-2 0-6 7-5;Hard;20150202;2015-2276;A;Zagreb;47.0;28.0;9.0;13.0;5.0;10.0;4.0;3.0;69.0;22.7;;R;172.0;106000;BIH;Damir Dzumhur;128.0;425.0;;1
5;85.0;61.0;19.0;17.0;11.0;7.0;6.0;3.0;124.0;27.2;;R;188.0;105732;FRA;Pierre Hugues Herbert;87.0;680.0;;202;143.0;R32;7-6(1) 6-4 7-6(4);Clay;20180528;2018-520;G;Roland Garros;73.0;61.0;17.0;17.0;17.0;1.0;1.0;1.0;99.0;33.09;;R;206.0;104545;USA;John Isner;10.0;2980.0;9.0;1
3;51.0;35.0;4.0;9.0;5.0;10.0;8.0;1.0;65.0;19.35;WC;R;;134770;NOR;Casper Ruud;193.0;299.0;;286;76.0;R16;6-4 6-3;Clay;20180430;2018-0308;A;Munich;35.0;31.0;9.0;10.0;1.0;0.0;0.0;2.0;50.0;30.04;;R;183.0;105138;ESP;Roberto Bautista Agut;14.0;2175.0;2.0;1
3;61.0;43.0;13.0;14.0;8.0;11.0;6.0;3.0;92.0;25.84;;R;193.0;105577;CAN;Vasek Pospisil;45.0;975.0;7.0;277;111.0;R32;6-7(5) 6-3 6-2;Clay;20160425;2016-0308;A;Munich;45.0;36.0;26.0;15.0;6.0;2.0;0.0;3.0;86.0;26.0;;R;;105526;GER;Jan Lennard Struff;112.0;539.0;;1
5;;;;;;;;;;28.17;;R;190.0;104918;GBR;Andy Murray;3.0;7810.0;;2;;RR;7-5 7-6(10) 6-2;Grass;20150717;2015-D009;D;Davis Cup WG QF: GBR vs FRA;;;;;;;;;;30.25;;R;188.0;104542;FRA;Jo Wilfried Tsonga;12.0;2475.0;;0
3;25.0;20.0;13.0;8.0;7.0;0.0;0.0;1.0;44.0;37.55;;R;185.0;103819;SUI;Roger Federer;7.0;4100.0;2.0;298;67.0;SF;6-2 6-2;Hard;20190225;2019-0495;A;Dubai;37.0;20.0;9.0;8.0;1.0;9.0;5.0;1.0;59.0;22.28;;R;;106432;CRO;Borna Coric;13.0;2605.0;6.0;0
5;42.0;27.0;22.0;13.0;5.0;4.0;2.0;2.0;73.0;27.4;;L;188.0;105064;BRA;Thomaz Bellucci;40.0;1065.0;;34;90.0;R128;6-1 6-2 6-4;Clay;20150524;2015-520;G;Roland Garros;49.0;26.0;10.0;12.0;2.0;10.0;3.0;1.0;76.0;29.79;;R;194.0;104594;AUS;Marinko Matosevic;100.0;526.0;;0
