p2_age,p2_hand,p2_ht,p2_id,p2_ioc,p2_rank_points,match_num,round,surface,tourney_level,tourney_name,p1_age,p1_hand,p1_ht,p1_id,p1_ioc,p1_rank_points,p1_won,tourney_month,p1_is_seed_player,p2_is_seed_player,p1_new_rank,p2_new_rank
0.9046197826358491,0,0.20463155557745424,50,25,-0.23774739725066665,-1.5580521434121597,6,3,4,21,0.5767389505450075,1,0.2156288196455054,79,27,0.0980194195172927,0,0.9127646956444884,-0.715611102978637,-0.7097795103656924,0,1
0.7287079541865619,1,-0.5465527588461114,80,18,-0.20313217459518296,0.7492184287460337,5,2,0,359,-0.3752666831055443,1,-4.275466579535307e-15,241,30,-0.4259674751372926,1,0.24199080731640935,-0.715611102978637,-0.7097795103656924,1,1
-0.36735805384361037,0,-0.5465527588461114,213,83,-0.3788709973076386,-0.5861249793162174,4,3,3,363,0.5993519109642608,1,-0.536519215293175,76,72,2.2387296976789908,1,0.9127646956444884,1.3974070494960622,-0.7097795103656924,0,1
0.21901470765401304,0,-0.24607903307668516,107,25,2.29182656603468,-1.3636667105929712,2,1,0,347,0.3053834255139713,1,-0.9878080362563832,99,80,-0.006251339418996635,0,-1.099556969339749,1.3974070494960622,1.4088882327481955,0,0
-0.06289527383522882,1,0.5051052813468805,143,56,-0.4715332856469334,-1.4735367378385995,5,3,0,372,0.5812615426288588,1,-0.23566000131770284,67,11,-0.5965923533966752,0,-1.099556969339749,-0.715611102978637,-0.7097795103656924,2,1
0.814408588559292,1,0.9558158700010199,100,71,-0.23508468781562944,0.875991537106374,4,2,0,343,0.02950530839908467,0,-0.536519215293175,216,81,-0.3232765761848864,1,0.24199080731640935,-0.715611102978637,-0.7097795103656924,1,1
0.2686308643961194,0,-0.24607903307668516,107,25,1.8897574413440617,-1.270699764462055,5,1,4,349,0.02950530839908467,1,0.5164880336209776,143,78,-0.4565114348257006,0,-0.09339613684763018,-0.715611102978637,1.4088882327481955,1,0
-1.8400557971434102,1,0.0,500,69,-0.6249053491050766,-0.6706403848897776,3,3,3,5,-1.1034040086054924,1,-0.23566000131770284,389,27,0.35395673690636653,0,-1.4349439135037882,1.3974070494960622,-0.7097795103656924,0,2
-0.6199493972579713,1,0.9558158700010199,249,12,-0.3043151331265968,-1.4397305756091754,6,2,0,340,0.31895120176552366,1,0.5164880336209776,109,24,-0.39173717548649056,1,0.24199080731640935,-0.715611102978637,-0.7097795103656924,1,1
-0.4440375688086841,1,0.0,352,74,-0.6307633098621584,0.7154122665166096,5,3,0,334,0.11543455799224595,1,-0.9878080362563832,255,70,-0.26798147674897543,1,1.5835385839725675,-0.715611102978637,-0.7097795103656924,1,2
0.04535815905664015,1,0.5051052813468805,121,29,-0.48058649772605994,-1.5411490622974475,3,3,3,5,0.7689491141086585,0,0.2156288196455054,55,24,-0.1705567777428465,1,-1.4349439135037882,1.3974070494960622,-0.7097795103656924,1,2
1.042191853602599,1,-0.24607903307668516,108,28,0.04982522173335172,0.8252822937622379,5,3,4,341,-0.38205057123132047,1,-0.23566000131770284,341,81,0.15858071889948097,1,1.5835385839725675,1.3974070494960622,-0.7097795103656924,0,0
-1.1499401624577454,1,-0.24607903307668516,340,83,-0.16212644929560996,-1.4904398189533115,5,1,0,339,-0.6556673923042823,1,-0.9878080362563832,255,70,-0.40753577532532226,1,-0.09339613684763018,-0.715611102978637,1.4088882327481955,1,1
-0.4981642852546182,1,0.9558158700010199,249,12,-0.19514404629007134,0.7323153476313217,5,3,0,20,-0.29838261768008406,1,-0.8373784292686471,215,69,-0.2737742966898804,1,-1.4349439135037882,-0.715611102978637,1.4088882327481955,1,1
-0.35382637473212625,1,-3.5512900165403742,273,6,0.7927211541087326,0.9097976993357981,2,3,0,355,1.1578920333198104,1,-1.2886672502318555,61,5,-0.35382053587329443,0,-1.099556969339749,-0.715611102978637,1.4088882327481955,1,0
-0.06740583353905659,1,-0.5465527588461114,172,25,0.03651167455816569,-1.4228274944944632,4,3,0,356,0.5767389505450075,1,0.2156288196455054,83,68,-0.3353888360613241,0,1.248151639808528,-0.715611102978637,1.4088882327481955,1,0
-1.9821384278139877,1,0.0,520,83,-0.7090469672522524,0.8252822937622379,5,3,0,324,0.6355326476350657,1,0.9677768545841858,101,79,-0.41543507524473816,0,0.9127646956444884,-0.715611102978637,-0.7097795103656924,1,2
-0.16438286717135572,1,0.0,313,35,-0.19248133685503413,0.9351523210078662,2,3,0,350,0.3031221294720465,1,-1.2886672502318555,229,41,1.390871506328355,1,-1.099556969339749,1.3974070494960622,-0.7097795103656924,0,1
0.1423351926889393,1,-1.2977370732696771,224,42,0.11905566704431911,0.88444307766373,4,1,4,349,1.537789768363261,1,-1.2886672502318555,53,30,0.03745812013510445,0,-0.09339613684763018,-0.715611102978637,-0.7097795103656924,0,0
0.43326629358583674,1,-0.24607903307668516,83,25,-0.46354515734182183,-1.3974728728223953,2,1,0,18,0.5676937663773064,1,-0.23566000131770284,69,0,-0.6908573324350378,0,-0.42878308101166973,-0.715611102978637,-0.7097795103656924,2,1
-0.26361518065556916,1,-1.2977370732696771,224,42,1.5169781204388528,0.9436038615652221,8,3,4,17,0.8028685547375377,1,-0.536519215293175,76,72,1.7173759029975437,0,0.5773777514804489,1.3974070494960622,1.4088882327481955,0,0
2.451741761048808,1,3.209368813271717,5,17,-0.28301345764629915,0.453414509238573,6,3,4,353,1.8702002865262803,0,0.2156288196455054,25,24,-0.08629757860241068,1,1.5835385839725675,-0.715611102978637,-0.7097795103656924,1,1
