iter	Passed	Remaining
407	6788	18167
408	6808	18160
409	6829	18155
410	6846	18141
411	6863	18124
412	6877	18101
413	6892	18080
414	6909	18064
415	6925	18046
416	6943	18033
417	6965	18030
418	6981	18013
419	7004	18012
420	7027	18010
421	7050	18011
422	7069	17999
423	7086	17982
424	7099	17957
425	7120	17951
426	7132	17923
427	7147	17901
428	7164	17887
429	7180	17867
430	7208	17879
431	7224	17861
432	7240	17842
433	7250	17807
434	7258	17769
435	7265	17730
436	7273	17692
437	7283	17658
438	7291	17621
439	7298	17583
440	7307	17548
441	7315	17510
442	7323	17473
443	7331	17435
444	7339	17400
445	7351	17373
446	7365	17351
447	7375	17318
448	7387	17292
449	7402	17273
450	7416	17250
451	7432	17234
452	7445	17209
453	7454	17175
454	7462	17140
455	7470	17102
456	7478	17068
457	7488	17037
458	7496	17001
459	7503	16965
460	7510	16927
461	7517	16889
462	7524	16853
463	7532	16818
464	7539	16781
465	7547	16747
466	7558	16718
467	7565	16683
468	7582	16669
469	7594	16642
470	7609	16624
471	7618	16592
472	7629	16566
473	7655	16571
474	7664	16538
475	7671	16503
476	7678	16467
477	7686	16435
478	7694	16401
479	7701	16366
480	7708	16331
481	7717	16300
482	7725	16266
483	7732	16232
484	7740	16198
485	7747	16163
486	7755	16131
487	7768	16109
488	7782	16090
489	7799	16075
490	7808	16047
491	7824	16030
492	7838	16010
493	7856	15998
494	7870	15979
495	7879	15949
496	7887	15918
497	7895	15886
498	7904	15856
499	7912	15824
500	7920	15793
501	7931	15767
502	7938	15734
503	7947	15705
504	7959	15682
505	7970	15657
506	7979	15628
507	7991	15606
508	8004	15584
509	8030	15588
510	8045	15570
511	8057	15547
512	8067	15521
513	8076	15493
514	8082	15458
515	8090	15429
516	8099	15400
517	8109	15373
518	8116	15340
519	8123	15309
520	8132	15281
521	8139	15249
522	8146	15218
523	8154	15188
524	8163	15160
525	8194	15172
526	8208	15155
527	8227	15146
528	8244	15132
529	8262	15122
530	8271	15093
531	8278	15062
532	8286	15033
533	8293	15001
534	8300	14972
535	8308	14942
536	8315	14911
537	8323	14882
538	8329	14851
539	8337	14821
540	8344	14791
541	8354	14766
542	8374	14759
543	8393	14750
544	8413	14742
545	8431	14731
546	8443	14711
547	8456	14691
548	8466	14665
549	8474	14638
550	8481	14608
551	8490	14581
552	8498	14553
553	8506	14525
554	8514	14496
555	8522	14469
556	8532	14444
557	8542	14421
558	8554	14400
559	8570	14386
560	8590	14377
561	8611	14372
562	8630	14363
563	8646	14349
564	8665	14339
565	8676	14317
566	8685	14292
567	8694	14266
568	8703	14241
569	8712	14214
570	8720	14188
571	8730	14164
572	8737	14135
573	8745	14108
574	8754	14083
575	8761	14054
576	8771	14030
577	8778	14002
578	8790	13982
579	8797	13954
580	8808	13932
581	8819	13911
582	8832	13891
583	8842	13869
584	8850	13843
585	8861	13822
586	8872	13800
587	8885	13781
588	8891	13751
589	8897	13723
590	8905	13697
591	8912	13669
592	8922	13647
593	8929	13619
594	8936	13592
595	8946	13569
596	8953	13543
597	8963	13519
598	8971	13494
599	8988	13482
600	9011	13480
601	9035	13478
602	9051	13464
603	9083	13474
604	9095	13455
605	9104	13431
606	9112	13405
607	9120	13380
608	9128	13356
609	9135	13329
610	9142	13302
611	9149	13275
612	9157	13250
613	9165	13226
614	9176	13205
615	9182	13177
616	9190	13153
617	9201	13132
618	9213	13113
619	9229	13099
620	9244	13085
621	9257	13067
622	9270	13049
623	9283	13032
624	9296	13015
625	9303	12989
626	9309	12962
627	9316	12936
628	9323	12911
629	9330	12885
630	9337	12858
631	9344	12833
632	9350	12807
633	9357	12781
634	9363	12754
635	9369	12729
636	9377	12704
637	9383	12677
638	9389	12652
639	9396	12627
640	9411	12612
641	9428	12600
642	9445	12588
643	9456	12570
644	9469	12552
645	9493	12550
646	9508	12535
647	9516	12512
648	9522	12486
649	9529	12461
650	9536	12437
651	9544	12413
652	9549	12387
653	9556	12361
654	9565	12339
655	9572	12315
656	9578	12290
657	9584	12264
658	9590	12238
659	9596	12213
660	9601	12186
661	9612	12167
662	9623	12149
663	9640	12138
664	9652	12120
665	9667	12105
666	9679	12088
667	9691	12070
668	9705	12056
669	9712	12031
670	9718	12007
671	9725	11983
672	9733	11961
673	9741	11938
674	9749	11915
675	9755	11891
676	9762	11868
677	9768	11843
678	9775	11819
679	9781	11795
680	9788	11772
681	9794	11747
682	9801	11724
683	9813	11707
684	9826	11691
685	9838	11673
686	9848	11655
687	9863	11640
688	9880	11629
689	9896	11617
690	9904	11595
691	9916	11579
692	9922	11555
693	9930	11532
694	9935	11508
695	9941	11484
696	9948	11461
697	9955	11438
698	9961	11415
699	9968	11392
700	9975	11369
701	9981	11346
702	9988	11324
703	9995	11301
704	10003	11280
705	10014	11262
706	10025	11244
707	10037	11228
708	10051	11214
709	10063	11197
710	10080	11186
711	10088	11165
712	10107	11156
713	10114	11134
714	10120	11110
715	10126	11088
716	10131	11064
717	10138	11041
718	10144	11019
719	10151	10997
720	10156	10973
721	10162	10951
722	10169	10928
723	10175	10906
724	10182	10884
725	10190	10864
726	10196	10841
727	10204	10820
728	10209	10798
729	10220	10780
730	10232	10764
731	10248	10752
732	10263	10739
733	10274	10722
734	10284	10704
735	10296	10688
736	10308	10671
737	10314	10649
738	10322	10629
739	10330	10609
740	10335	10587
741	10342	10565
742	10348	10543
743	10354	10521
744	10361	10500
745	10366	10478
746	10372	10455
747	10378	10434
748	10384	10412
749	10391	10391
750	10396	10368
751	10402	10347
752	10407	10324
753	10413	10303
754	10426	10288
755	10432	10267
756	10439	10246
757	10450	10230
758	10462	10214
759	10472	10197
760	10481	10178
761	10493	10162
762	10500	10142
763	10510	10125
764	10522	10109
765	10528	10088
766	10534	10067
767	10540	10046
768	10546	10025
769	10553	10004
770	10559	9984
771	10567	9964
772	10572	9943
773	10579	9923
774	10585	9902
775	10592	9883
776	10599	9862
777	10606	9842
778	10614	9824
779	10624	9807
780	10635	9791
781	10647	9775
782	10657	9759
783	10669	9744
784	10678	9726
785	10688	9709
786	10697	9692
787	10711	9678
788	10727	9666
789	10737	9649
790	10747	9633
791	10754	9613
792	10759	9592
793	10767	9573
794	10776	9556
795	10783	9537
796	10790	9517
797	10797	9498
798	10803	9478
799	10809	9458
800	10816	9439
801	10829	9425
802	10840	9409
803	10850	9393
804	10864	9380
805	10878	9366
806	10895	9356
807	10904	9338
808	10913	9321
809	10925	9307
810	10934	9289
811	10940	9269
812	10945	9249
813	10952	9229
814	10958	9210
815	10966	9192
816	10972	9173
817	10980	9154
818	10987	9135
819	10993	9116
820	11001	9098
821	11013	9083
822	11028	9072
823	11046	9062
824	11061	9050
825	11075	9037
826	11088	9023
827	11106	9013
828	11113	8995
829	11124	8979
830	11142	8970
831	11155	8956
832	11166	8940
833	11172	8921
834	11179	8903
835	11186	8885
836	11192	8865
837	11202	8849
838	11213	8834
839	11224	8819
840	11234	8803
841	11245	8788
842	11257	8773
843	11272	8761
844	11283	8746
845	11299	8735
846	11309	8718
847	11316	8700
848	11323	8682
849	11329	8663
850	11335	8644
851	11341	8625
852	11347	8607
853	11353	8588
854	11359	8569
855	11365	8550
856	11371	8531
857	11379	8514
858	11385	8495
859	11391	8477
860	11398	8459
861	11410	8445
862	11420	8430
863	11427	8411
864	11438	8396
865	11454	8385
866	11467	8372
867	11480	8358
868	11495	8347
869	11509	8334
870	11521	8320
871	11527	8302
872	11535	8284
873	11541	8266
874	11549	8249
875	11556	8231
876	11563	8214
877	11570	8196
878	11577	8179
879	11582	8160
880	11589	8142
881	11595	8124
882	11603	8107
883	11611	8091
884	11623	8077
885	11641	8067
886	11657	8056
887	11669	8042
888	11694	8037
889	11712	8027
890	11720	8010
891	11725	7992
892	11732	7974
893	11738	7956
894	11745	7939
895	11751	7921
896	11757	7903
897	11763	7886
898	11773	7870
899	11778	7852
900	11786	7835
901	11796	7820
